0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,20,19,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
0,0,0,0,0,0,0,0,0,5,0,8,0,16,0,0
0,0,0,5,5,18,0,0,0,0,20,19,0,0,6,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,15,4,18,21,0,0,0,0,0,14,0,0
0,0,0,5,5,19,0,0,0,0,0,0,0,6,5,0
0,0,8,21,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,16,5,0,0,0,0,0,0,0,0,0,0
0,9,0,19,0,0,0,0,0,20,0,15,20,16,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
