0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,8,0,0,0,0,0,0,0,15,0,0,0
0,0,0,9,0,12,0,0,0,0,0,13,0,10,0,0
0,0,0,0,14,0,0,0,0,0,0,0,11,0,0,0
0,0,0,0,0,0,0,17,17,17,0,0,0,0,0,0
2,0,0,0,0,0,22,22,17,21,0,0,0,0,0,0
0,0,0,0,0,0,0,22,18,21,0,0,0,0,0,0
0,0,0,0,0,0,0,22,18,21,0,0,0,0,0,0
0,0,0,0,0,0,0,18,18,21,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0
0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
